best m,c is 1.590000,13.010000 with error 14.067244 in direction 0
best m,c is 1.590000,13.020000 with error 14.063623 in direction 0
best m,c is 1.590000,13.030000 with error 14.060009 in direction 0
best m,c is 1.590000,13.040000 with error 14.056401 in direction 0
best m,c is 1.590000,13.050000 with error 14.052799 in direction 0
best m,c is 1.590000,13.060000 with error 14.049203 in direction 0
best m,c is 1.590000,13.070000 with error 14.045613 in direction 0
best m,c is 1.590000,13.080000 with error 14.042030 in direction 0
best m,c is 1.590000,13.090000 with error 14.038452 in direction 0
best m,c is 1.590000,13.100000 with error 14.034881 in direction 0
best m,c is 1.590000,13.110000 with error 14.031317 in direction 0
best m,c is 1.590000,13.120000 with error 14.027758 in direction 0
best m,c is 1.590000,13.130000 with error 14.024206 in direction 0
best m,c is 1.590000,13.140000 with error 14.020660 in direction 0
best m,c is 1.590000,13.150000 with error 14.017120 in direction 0
best m,c is 1.590000,13.160000 with error 14.013586 in direction 0
best m,c is 1.590000,13.170000 with error 14.010059 in direction 0
best m,c is 1.590000,13.180000 with error 14.006538 in direction 0
best m,c is 1.590000,13.190000 with error 14.003023 in direction 0
best m,c is 1.590000,13.200000 with error 13.999514 in direction 0
best m,c is 1.590000,13.210000 with error 13.996012 in direction 0
best m,c is 1.590000,13.220000 with error 13.992516 in direction 0
best m,c is 1.590000,13.230000 with error 13.989026 in direction 0
best m,c is 1.590000,13.240000 with error 13.985543 in direction 0
best m,c is 1.590000,13.250000 with error 13.982065 in direction 0
best m,c is 1.590000,13.260000 with error 13.978594 in direction 0
best m,c is 1.590000,13.270000 with error 13.975130 in direction 0
best m,c is 1.590000,13.280000 with error 13.971671 in direction 0
best m,c is 1.590000,13.290000 with error 13.968219 in direction 0
best m,c is 1.590000,13.300000 with error 13.964774 in direction 0
best m,c is 1.590000,13.310000 with error 13.961334 in direction 0
best m,c is 1.590000,13.320000 with error 13.957901 in direction 0
best m,c is 1.590000,13.330000 with error 13.954474 in direction 0
best m,c is 1.590000,13.340000 with error 13.951054 in direction 0
best m,c is 1.590000,13.350000 with error 13.947640 in direction 0
best m,c is 1.590000,13.360000 with error 13.944232 in direction 0
best m,c is 1.590000,13.370000 with error 13.940830 in direction 0
best m,c is 1.590000,13.380000 with error 13.937435 in direction 0
best m,c is 1.590000,13.390000 with error 13.934046 in direction 0
best m,c is 1.590000,13.400000 with error 13.930664 in direction 0
best m,c is 1.590000,13.410000 with error 13.927288 in direction 0
best m,c is 1.590000,13.420000 with error 13.923918 in direction 0
best m,c is 1.590000,13.430000 with error 13.920555 in direction 0
best m,c is 1.590000,13.440000 with error 13.917198 in direction 0
best m,c is 1.590000,13.450000 with error 13.913847 in direction 0
best m,c is 1.590000,13.460000 with error 13.910503 in direction 0
best m,c is 1.590000,13.470000 with error 13.907165 in direction 0
best m,c is 1.590000,13.480000 with error 13.903834 in direction 0
best m,c is 1.590000,13.490000 with error 13.900509 in direction 0
best m,c is 1.590000,13.500000 with error 13.897190 in direction 0
best m,c is 1.590000,13.510000 with error 13.893878 in direction 0
best m,c is 1.590000,13.520000 with error 13.890572 in direction 0
best m,c is 1.590000,13.530000 with error 13.887273 in direction 0
best m,c is 1.590000,13.540000 with error 13.883980 in direction 0
best m,c is 1.590000,13.550000 with error 13.880693 in direction 0
best m,c is 1.590000,13.560000 with error 13.877413 in direction 0
best m,c is 1.590000,13.570000 with error 13.874140 in direction 0
best m,c is 1.590000,13.580000 with error 13.870872 in direction 0
best m,c is 1.590000,13.590000 with error 13.867612 in direction 0
best m,c is 1.590000,13.600000 with error 13.864357 in direction 0
best m,c is 1.580000,13.610000 with error 13.861018 in direction 7
best m,c is 1.580000,13.620000 with error 13.857410 in direction 0
best m,c is 1.580000,13.630000 with error 13.853808 in direction 0
best m,c is 1.580000,13.640000 with error 13.850213 in direction 0
best m,c is 1.580000,13.650000 with error 13.846623 in direction 0
best m,c is 1.580000,13.660000 with error 13.843040 in direction 0
best m,c is 1.580000,13.670000 with error 13.839464 in direction 0
best m,c is 1.580000,13.680000 with error 13.835893 in direction 0
